"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 02 21:28:54 EET 2023","Thu Mar 02 21:28:55 EET 2023","1504","","Sign up and login","","","","Login with invalid username",""
"passed","Thu Mar 02 21:28:55 EET 2023","Thu Mar 02 21:28:57 EET 2023","1746","","Sign up and login","","","","Login with invalid password",""
"passed","Thu Mar 02 21:28:24 EET 2023","Thu Mar 02 21:28:28 EET 2023","4401","","","","","","Buy product on the home page",""
"passed","Thu Mar 02 21:28:53 EET 2023","Thu Mar 02 21:28:54 EET 2023","1204","","Sign up and login","","","","Login without username",""
"passed","Thu Mar 02 21:28:43 EET 2023","Thu Mar 02 21:28:51 EET 2023","7795","","Sign up and login","","","","Sign up",""
"passed","Thu Mar 02 21:28:05 EET 2023","Thu Mar 02 21:28:24 EET 2023","18149","","","","","","Search and buy found product",""
"passed","Thu Mar 02 21:28:51 EET 2023","Thu Mar 02 21:28:53 EET 2023","2025","","Sign up and login","","","","Login with valid user",""
"passed","Thu Mar 02 21:28:35 EET 2023","Thu Mar 02 21:28:36 EET 2023","816","","","","","","Open order history page",""
"passed","Thu Mar 02 21:28:33 EET 2023","Thu Mar 02 21:28:35 EET 2023","1831","","","","","","Open account page",""
